order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2760791,17,prior,32,1,22,4.0
2553089,17,prior,33,3,11,9.0
791858,17,prior,34,5,12,16.0
2773605,17,prior,35,6,13,8.0
674977,17,prior,36,3,12,30.0
2831726,17,prior,37,2,12,13.0
1385397,17,prior,38,1,15,30.0
348137,17,prior,39,5,16,11.0
3350883,17,prior,40,4,11,27.0
2180313,17,train,41,3,10,30.0
2780889,18,prior,1,6,18,
3106101,18,prior,2,0,17,1.0
1860960,18,prior,3,1,19,8.0
3133044,18,prior,4,0,16,6.0
1020460,18,prior,5,2,16,9.0
441977,18,prior,6,6,12,4.0
2461523,18,train,7,6,9,7.0
1321974,19,prior,1,6,13,
2293453,19,prior,2,5,14,6.0
2208892,19,prior,3,0,14,16.0
2808909,19,prior,4,5,12,5.0
1973799,19,prior,5,6,12,8.0
2474845,19,prior,6,5,13,20.0
532817,19,prior,7,4,17,6.0
2483716,19,prior,8,4,4,7.0
86918,19,prior,9,5,16,8.0
1735923,19,test,10,6,17,8.0
947722,20,prior,1,1,10,
157550,20,prior,2,3,16,2.0
3408319,20,prior,3,2,11,6.0
2741696,20,prior,4,2,11,7.0
1980631,20,test,5,1,11,30.0
2625565,21,prior,1,1,10,
2698037,21,prior,2,1,9,7.0
1166994,21,prior,3,1,13,7.0
129152,21,prior,4,1,14,14.0
62373,21,prior,5,1,14,7.0
2984916,21,prior,6,5,6,4.0
1716848,21,prior,7,5,9,28.0
3288630,21,prior,8,2,13,18.0
2592860,21,prior,9,4,10,2.0
1573906,21,prior,10,3,10,6.0
2102674,21,prior,11,1,15,12.0
534401,21,prior,12,1,9,21.0
2510446,21,prior,13,5,11,4.0
1082944,21,prior,14,1,9,10.0
3257456,21,prior,15,1,9,7.0
774475,21,prior,16,1,11,7.0
1953572,21,prior,17,2,15,1.0
1674891,21,prior,18,2,11,21.0
77791,21,prior,19,3,9,8.0
1413723,21,prior,20,1,10,12.0
1806047,21,prior,21,1,9,7.0
1431584,21,prior,22,3,9,9.0
2941505,21,prior,23,2,13,6.0
1322450,21,prior,24,5,8,3.0
1776467,21,prior,25,5,8,7.0
497940,21,prior,26,1,11,10.0
1735495,21,prior,27,3,8,9.0
1996394,21,prior,28,1,9,5.0
1110781,21,prior,29,2,9,8.0
2097221,21,prior,30,1,11,6.0
2057208,21,prior,31,3,15,9.0
865324,21,prior,32,1,13,12.0
3341737,21,prior,33,1,12,30.0
1854765,21,train,34,1,12,28.0
2300537,22,prior,1,3,7,
144358,22,prior,2,3,7,30.0
1219654,22,prior,3,0,21,4.0
2922708,22,prior,4,3,11,30.0
3393222,22,prior,5,5,21,16.0
2327987,22,prior,6,1,19,17.0
2455079,22,prior,7,6,17,5.0
634494,22,prior,8,5,9,13.0
1014994,22,prior,9,5,15,28.0
3227049,22,prior,10,3,19,5.0
2780464,22,prior,11,5,12,2.0
194741,22,prior,12,0,8,2.0
1766930,22,prior,13,5,10,5.0
3090814,22,prior,14,1,19,3.0
2647850,22,prior,15,4,10,30.0
139655,22,test,16,5,6,1.0
1792521,23,prior,1,5,14,
8382,23,prior,2,0,10,9.0
1902489,23,prior,3,5,12,5.0
1072926,23,prior,4,3,11,30.0
3402036,23,train,5,1,12,30.0
611214,24,prior,1,3,20,
1869748,24,prior,2,6,16,3.0
1511050,24,prior,3,3,21,30.0
2877797,24,prior,4,6,10,24.0
118133,24,prior,5,0,11,30.0
816714,24,prior,6,6,8,13.0
1415679,24,prior,7,0,8,15.0
3064712,24,prior,8,1,20,8.0
1640680,24,prior,9,1,8,30.0
3354579,24,prior,10,5,17,18.0
3320181,24,prior,11,4,14,6.0
2126098,24,prior,12,5,16,22.0
2586085,24,prior,13,2,11,11.0
1103927,24,prior,14,6,8,4.0
1368577,24,prior,15,0,10,15.0
2635041,24,prior,16,0,9,7.0
196008,24,prior,17,0,20,14.0
173172,24,prior,18,0,16,14.0
965160,24,train,19,0,16,0.0
2610576,25,prior,1,1,14,
2994388,25,prior,2,1,20,30.0
258751,25,prior,3,5,19,30.0
1411408,25,test,4,0,15,30.0
3229714,26,prior,1,2,15,
2284750,26,prior,2,5,11,10.0
1488077,26,prior,3,5,10,7.0
1798774,26,prior,4,4,20,6.0
2018734,26,prior,5,5,9,8.0
2827207,26,prior,6,2,15,11.0
2097636,26,prior,7,1,13,30.0
2923351,26,prior,8,3,11,30.0
2063028,26,prior,9,3,9,14.0
3350048,26,prior,10,3,14,7.0
135696,26,prior,11,4,17,8.0
232721,26,prior,12,4,17,7.0
2940603,26,test,13,5,14,8.0
361493,27,prior,1,3,9,
1662354,27,prior,2,2,17,6.0
965677,27,prior,3,3,8,1.0
2842504,27,prior,4,5,13,2.0
1007361,27,prior,5,2,15,4.0
2792524,27,prior,6,4,9,9.0
1771198,27,prior,7,2,14,5.0
1460681,27,prior,8,3,15,1.0
3317805,27,prior,9,4,13,1.0
3149167,27,prior,10,4,15,7.0
3141790,27,prior,11,5,11,1.0
1380784,27,prior,12,1,11,3.0
1659155,27,prior,13,2,17,1.0
1406911,27,prior,14,3,9,8.0
3247231,27,prior,15,1,14,5.0
2705360,27,prior,16,2,16,8.0
1523605,27,prior,17,2,9,7.0
3137551,27,prior,18,1,15,20.0
900590,27,prior,19,3,9,9.0
1060278,27,prior,20,1,16,12.0
1149132,27,prior,21,2,11,8.0
2729473,27,prior,22,3,8,8.0
612679,27,prior,23,2,13,6.0
3162630,27,prior,24,2,15,0.0
338996,27,prior,25,5,10,10.0
2305567,27,prior,26,5,14,7.0
1311494,27,prior,27,1,15,17.0
1641287,27,prior,28,3,10,2.0
654294,27,prior,29,3,14,0.0
1111867,27,prior,30,4,16,1.0
1194452,27,prior,31,2,14,5.0
3147283,27,prior,32,5,10,10.0
1666812,27,prior,33,4,15,6.0
2695034,27,prior,34,2,15,5.0
129025,27,prior,35,3,16,1.0
920968,27,prior,36,5,14,2.0
2005447,27,prior,37,1,10,3.0
1603399,27,prior,38,2,16,1.0
3176698,27,prior,39,1,14,6.0
3374715,27,prior,40,4,10,3.0
2392592,27,prior,41,5,10,1.0
1374792,27,prior,42,5,14,0.0
1849805,27,prior,43,5,15,0.0
225381,27,prior,44,2,14,4.0
3037479,27,prior,45,4,9,2.0
419099,27,prior,46,1,10,4.0
3359528,27,prior,47,2,14,1.0
1380270,27,prior,48,3,10,1.0
1067581,27,prior,49,3,14,0.0
3094422,27,prior,50,4,14,1.0
933179,27,prior,51,2,9,5.0
682914,27,prior,52,3,15,15.0
1149184,27,prior,53,2,9,6.0
65724,27,prior,54,4,15,2.0
2244394,27,prior,55,2,16,5.0
1025119,27,prior,56,3,11,1.0
1559403,27,prior,57,4,13,1.0
1615255,27,prior,58,5,8,1.0
1201330,27,prior,59,3,9,5.0
3146978,27,prior,60,4,15,1.0
230851,27,prior,61,1,13,4.0
771049,27,prior,62,2,10,1.0
7099,27,prior,63,3,10,1.0
2716757,27,prior,64,1,15,5.0
804483,27,prior,65,4,10,3.0
2325503,27,prior,66,1,12,4.0
1832360,27,prior,67,5,10,4.0
1560223,27,prior,68,2,8,4.0
2999232,27,prior,69,2,14,0.0
1250733,27,prior,70,3,15,1.0
2569634,27,prior,71,1,13,5.0
1225000,27,prior,72,1,13,7.0
994572,27,prior,73,5,14,4.0
2138705,27,prior,74,5,14,7.0
264488,27,prior,75,1,11,10.0
3276527,27,prior,76,1,14,0.0
625018,27,prior,77,1,8,7.0
568636,27,prior,78,5,15,4.0
2546638,27,prior,79,3,11,5.0
1837192,27,prior,80,2,8,6.0
1573122,27,prior,81,1,13,6.0
2614670,27,train,82,5,14,4.0
1138968,28,prior,1,0,14,
1589342,28,prior,2,5,13,19.0
3331846,28,prior,3,0,16,2.0
1782508,28,prior,4,3,16,17.0
1432100,28,prior,5,2,15,27.0
358148,28,prior,6,2,12,14.0
2657750,28,prior,7,1,17,6.0
2695156,28,prior,8,0,16,13.0
1584053,28,prior,9,1,15,30.0
1639907,28,prior,10,0,17,6.0
2760669,28,prior,11,0,7,30.0
1819575,28,prior,12,1,19,1.0
1272493,28,prior,13,5,17,11.0
279523,28,prior,14,2,13,18.0
2810971,28,prior,15,3,17,15.0
1481969,28,prior,16,4,12,1.0
181977,28,prior,17,5,13,1.0
979759,28,prior,18,0,17,9.0
2070736,28,prior,19,5,16,12.0
760273,28,prior,20,1,13,10.0
1385910,28,prior,21,2,17,1.0
1818037,28,prior,22,2,15,7.0
2195945,28,prior,23,1,14,6.0
1978052,28,prior,24,0,15,13.0
1192143,28,test,25,1,16,8.0
2064090,29,prior,1,5,11,
875452,29,prior,2,2,8,11.0
2657652,29,prior,3,2,10,14.0
2999889,29,prior,4,6,8,11.0
1207762,29,prior,5,1,11,9.0
370715,29,prior,6,5,11,11.0
1049206,29,prior,7,1,12,10.0
2655002,29,prior,8,4,13,10.0
685887,29,prior,9,6,13,9.0
3167222,29,prior,10,5,11,13.0
2865794,29,prior,11,5,9,7.0
1062536,29,prior,12,4,8,13.0
620971,29,prior,13,5,8,8.0
3090640,29,prior,14,1,13,17.0
3202175,29,prior,15,3,11,16.0
2376709,29,prior,16,1,11,12.0
1748639,29,prior,17,5,13,11.0
1647841,29,prior,18,5,11,14.0
3110252,29,train,19,4,11,13.0
375303,30,prior,1,1,13,
2156000,30,prior,2,1,10,7.0
3169631,30,prior,3,1,22,7.0
1645927,30,prior,4,2,13,22.0
986094,30,prior,5,2,11,30.0
2299885,30,prior,6,1,19,27.0
137318,30,prior,7,1,6,28.0
3333738,30,prior,8,1,8,30.0
62370,30,train,9,2,13,22.0
2150649,31,prior,1,5,11,
695934,31,prior,2,5,11,0.0
638062,31,prior,3,4,12,6.0
2135842,31,prior,4,3,13,6.0
2623412,31,prior,5,0,16,4.0
1183257,31,prior,6,0,16,7.0
1341128,31,prior,7,2,13,2.0
1120389,31,prior,8,0,11,5.0
3352995,31,prior,9,3,12,3.0
1593000,31,prior,10,3,8,7.0
2582407,31,prior,11,1,7,5.0
673583,31,prior,12,4,12,10.0
3035956,31,prior,13,3,11,6.0
2951746,31,prior,14,2,9,6.0
2258440,31,prior,15,1,8,6.0
2647083,31,prior,16,2,8,8.0
2231262,31,prior,17,3,11,8.0
963053,31,prior,18,3,11,0.0
813240,31,prior,19,0,17,4.0
1765409,31,prior,20,0,17,0.0
280888,31,test,21,4,9,18.0
134879,32,prior,1,3,12,
1275838,32,prior,2,3,12,30.0
1709286,32,prior,3,2,10,20.0
72626,32,prior,4,3,9,1.0
1210985,32,prior,5,1,23,30.0
3202221,32,test,6,1,13,30.0
2906103,33,prior,1,3,14,
2612991,33,prior,2,2,16,27.0
1537903,33,prior,3,1,19,30.0
3222866,33,test,4,6,17,19.0
2383661,34,prior,1,4,15,
1569834,34,prior,2,4,7,28.0
1916863,34,prior,3,4,14,21.0
1951139,34,prior,4,0,11,10.0
2344038,34,prior,5,0,15,21.0
698604,34,train,6,4,13,30.0
1269089,35,prior,1,5,21,
2562704,35,prior,2,3,16,26.0
1136841,35,prior,3,6,9,30.0
457048,35,prior,4,0,20,22.0
2880466,35,prior,5,5,16,30.0
1830981,35,prior,6,6,10,1.0
3309528,35,prior,7,3,18,4.0
1316279,35,prior,8,4,17,30.0
2903057,35,prior,9,4,16,28.0
707453,35,test,10,4,15,21.0
3285797,36,prior,1,4,17,
412111,36,prior,2,5,18,8.0
240889,36,prior,3,5,17,21.0
1602446,36,prior,4,1,11,10.0
